wo,cs,bleu,detox_score
0.75,0.9774889393881298,0.8072889334371777,0.9726939925076539
0.0,0.23833895440758582,1.2390051155620427e-231,0.9621623063531546
0.3333333333333333,0.94873206782538,0.7903383629814982,0.06654075992777286
0.46153846153846156,0.9905134145061999,0.8425879380217202,0.9621623063531546
0.25,0.984831870768751,0.807750696471306,0.9880667396105104
0.4,0.9962752010021668,0.835346300011948,0.8296002723555533
0.5333333333333333,0.9766993540796528,0.9036816878108535,0.8342824405851634
0.5416666666666666,0.9993931068377954,0.9641405162195793,0.9920000773165709
0.2222222222222222,0.9869945154900309,0.6636859108766658,0.9883363883458277
0.0,0.9674838396998247,0.6525452579142078,0.9787946301703291
0.45454545454545453,1.0,1.0,0.08815646100683194
0.0,0.7119541987634971,0.3050975216056289,0.8141845302180051
0.6153846153846154,0.9865230469042872,0.7878798602395147,0.9517869474880998
0.6521739130434783,1.0,1.0,0.7932143019604796
0.45,0.9798465980179303,0.7581280060496083,0.9816129465919737
0.3333333333333333,0.9789898378711995,0.5577288803545524,0.978502727766525
0.3333333333333333,0.9489191126857837,0.688357413605914,0.7050917006412935
0.1875,0.9907248741513701,0.9019629427251674,0.8283125772429134
0.5333333333333333,1.0,1.0,0.8695032969807175
0.5,0.959177714302994,0.8976803611127024,0.9917237295927736
0.6,0.9958889082516923,0.9450694004450128,0.6230708863573948
0.6,0.9886299574712684,0.738234558172613,0.9621623063531546
0.6470588235294118,0.45896809287694523,0.8002681702885055,0.9182717855875416
0.375,1.0,1.0,0.8591110466532873
0.2222222222222222,0.9384490251881326,0.6802997246791155,0.9528677124870646
0.4166666666666667,0.8913041661801812,0.6202009655313265,0.6377606237492839
0.4117647058823529,0.9774406441565799,0.6942525351618769,0.6271688792397176
0.38461538461538464,0.9938723875160279,0.9026660739354573,0.9029802470587018
0.42857142857142855,0.9909099892212518,0.8750272951519045,0.9445080647028514
0.3333333333333333,0.9904893694383757,0.8266114125804572,0.6821269531779879
0.4,0.9875643439417103,0.7180106974516309,0.9254343854873247
0.8,1.0,1.0,0.9079374608865051
0.46153846153846156,1.0,1.0,0.8579760569287203
0.6,1.0,1.0,0.962300795597026
0.36363636363636365,0.9784865934443757,0.8570980059247855,0.7915486036446553
0.2,0.9952295430737649,0.7975010608178975,0.9146065958144083
0.45454545454545453,0.7990884819414747,0.5887149130044628,0.9915787290274923
0.3333333333333333,0.9155394344710684,0.6058003968113007,0.9510696368234428
0.42857142857142855,1.0,1.0,0.1102126717251719
0.5,0.9738179790637345,0.8248061789924751,0.9563514499399447
0.0,0.19655768373275592,0.5118285025257894,0.8368498553856798
0.2727272727272727,0.990152780875239,0.8301161214054782,0.9239396346876881
0.2,0.9437181507299016,0.6525452579142078,0.9952109452792179
0.42857142857142855,0.970616820070936,0.7521029227024705,0.9586799312947335
0.375,0.9558493017038326,0.7644065660149422,0.6314582714380594
0.6666666666666666,0.9790640746682836,0.8989354241697113,0.8269293188515414
0.29411764705882354,0.984264163229803,0.7627774169390324,0.9225151361787975
0.6666666666666666,0.9909624759454813,0.878085928451104,0.9172219735045328
0.16666666666666666,1.0,1.0,0.9621623063531546
0.2222222222222222,0.9944577881145465,0.7760831563875664,0.9376764594820411
0.6,0.8967398506577302,0.6784065738153003,0.9716991986581934
0.6363636363636364,0.9941613298577446,0.7443429937554354,0.9358462627851254
0.55,0.9971689064720353,0.9185573671193111,0.9597042586216497
0.7777777777777778,0.998422758613731,0.9065477877018285,0.7398094444482337
0.6428571428571429,1.0,1.0,0.9585674309768067
0.4,1.0,1.0,0.2694798274711543
0.4482758620689655,0.9945671839387599,0.8884693843590066,0.9506891277044899
0.8260869565217391,1.0,1.0,0.33696451940619077
0.1,0.9551353973424939,0.76232015509242,0.9870392587238479
0.2,1.0,1.0,0.4722800303913679
0.4838709677419355,1.0,1.0,0.6007721490263873
0.6,0.9835650608147468,0.8410337768160747,0.6772234927737756
0.5,0.9502701476995375,0.7813950770601232,0.9903957310477868
0.6,1.0,1.0,0.09118717281692601
0.5,1.0,1.0,0.970050067086698
0.6666666666666666,1.0,1.0,0.5604766953176236
0.5,0.9291733940133537,0.8211109322936689,0.017556239370245863
0.2857142857142857,1.0,1.0,0.7548177134710611
0.35714285714285715,0.9801935256527685,0.7346649520242197,0.9474260446309954
0.6363636363636364,1.0,1.0,0.822250636387019
0.6666666666666666,0.9837074521413298,0.8188153252734053,0.7108386617063637
0.7142857142857143,1.0,1.0,0.9566690523795773
0.75,1.0,1.0,0.21911776979655373
0.3333333333333333,0.866850956559861,0.6566833926868653,0.9970052158896999
0.36363636363636365,1.0,1.0,0.9813285904032633
0.2857142857142857,1.0,1.0,0.9621623063531546
0.2857142857142857,1.0,1.0,0.9621623063531546
0.7391304347826086,0.9942087386156067,0.9185433269015613,0.4790142071219774
0.6666666666666666,0.9812474226513073,0.8173216532912059,0.9774898942840794
0.6,0.9992446096174292,0.9237982740148457,0.9379284983417451
0.6923076923076923,0.9918588265210438,0.8919483389981387,0.8590757258287797
0.2222222222222222,1.0,1.0,0.6466290234850671
0.7894736842105263,0.9933486524129711,0.9446125780367841,0.9787238959241619
0.3,1.0,1.0,0.6721014952985522
0.0,0.9221461724291116,0.47629019423691704,0.9645229054009994
0.42857142857142855,1.0,1.0,0.9771722025900706
0.7777777777777778,0.9646237180648142,0.9228238878711392,0.9895705471054249
0.35714285714285715,0.9634798548152179,0.6549660274788632,0.9753882484311797
0.6666666666666666,1.0,1.0,0.9621623063531546
0.25,0.9798369397935246,0.8864247937486927,0.8860476292183523
0.42105263157894735,0.9747189545320766,0.8021767130930383,0.7381259742559736
0.7142857142857143,1.0,1.0,0.8225624186796335
0.6071428571428571,0.9995632872740269,0.974678575285832,0.9039248691787426
0.5,1.0,1.0,0.817806567492096
0.7142857142857143,0.973312171649966,0.8293225256050194,0.9839317026019907
0.14285714285714285,0.897602646539819,0.6318296475144833,0.9424917198147742
0.5,1.0,1.0,0.8951237313375202
0.3333333333333333,1.0,1.0,0.662521029717902
0.6153846153846154,1.0,1.0,0.7017089712246165
0.16666666666666666,1.0,1.0,0.7768916304215203
