wo,cs,bleu,detox_score
0.8181818181818182,0.7823307269860813,0.9011550692664573,0.9919787354148462
0.0,-0.074897509930812,9.418382295637229e-232,0.9621623063531546
0.3333333333333333,0.16380386155604185,0.6395028446903569,0.06654075992777286
0.46153846153846156,0.8548350609394321,0.8960110606154549,0.9621623063531546
0.25,0.8266495763511752,0.8953711787948615,0.9880667396105104
0.4,0.4206647263714841,0.7713696476529821,0.8296002723555533
0.5333333333333333,0.6774823451071776,0.9036816878108535,0.8308608052784126
0.5416666666666666,0.742731912852927,0.8959084084845806,0.9920000773165709
0.2222222222222222,0.36216589037536995,0.6472859418230064,0.9883363883458277
0.0,0.3994661101416559,0.7012055133086459,0.9787946301703291
0.45454545454545453,1.0,1.0,0.08815646100683194
0.0,0.2642713559244256,0.2984745896009823,0.7908970045654552
0.6666666666666666,0.6454172260400997,0.8262592696121884,0.9441254937407246
0.6521739130434783,1.0,1.0,0.7932143019604796
0.47368421052631576,0.3258059386235809,0.8100165499398081,0.9796325089740857
0.3333333333333333,0.4372204684031876,0.7098232254187811,0.978502727766525
0.3333333333333333,0.4579376417537582,0.674945488826271,0.9621623063531546
0.1875,0.8400429099348744,0.9019629427251674,0.8311238027272981
0.5333333333333333,1.0,1.0,0.8695032969807175
0.5,0.5773513449545997,0.8973962687698532,0.9942185138964631
0.6,0.907224498602889,0.9450013327849145,0.6252200970692228
0.6,0.6118428839665286,0.8474968231198384,0.9621623063531546
0.6470588235294118,0.2541230794251049,0.7432510189486523,0.9182717855875416
0.375,1.0,1.0,0.8591110466532873
0.2222222222222222,0.5120873861211636,0.754506780835705,0.9544111910609581
0.45454545454545453,0.33527862839165784,0.6991791827059437,0.7908970045654552
0.4666666666666667,0.42031435683780993,0.7705540308819747,0.9155677274814589
0.38461538461538464,0.5756460135939461,0.816022620682652,0.9029802470587018
0.45,0.7930996350391909,0.8806711632895075,0.9493347516383889
0.3333333333333333,0.6530124923404136,0.7886336751695258,0.6821269531779879
0.4,0.5698793112713068,0.8336104423443033,0.9254343854873247
0.8,1.0,1.0,0.9079374608865051
0.46153846153846156,1.0,1.0,0.8579760569287203
0.6,1.0,1.0,0.962300795597026
0.36363636363636365,0.8078744043575593,0.8446593249975184,0.8976074456797506
0.2,0.2423673920742761,0.727147641547681,0.9146065958144083
0.5555555555555556,0.11160211975984174,0.6642831223759174,0.963883771416154
0.3333333333333333,0.2507630808773055,0.6738047261101535,0.9557903589332327
0.42857142857142855,1.0,1.0,0.1102126717251719
0.5,0.584520132065237,0.8092549675016044,0.9563514499399447
0.0,0.19655768373275592,0.5118285025257894,0.8368498553856798
0.2727272727272727,0.4347687720387274,0.7660061645363807,0.9239396346876881
0.2,0.3254844815351314,0.7012055133086459,0.9952109452792179
0.42857142857142855,0.34276068528041626,0.7325510644096216,0.9586799312947335
0.42857142857142855,0.46992408001528085,0.8588553141228454,0.5568631161459352
0.6666666666666666,0.627941124517187,0.8989354241697113,0.8269293188515414
0.29411764705882354,0.5204878250494113,0.7571247245187456,0.9563514499399447
0.6666666666666666,0.8213150059334391,0.8723360571509826,0.989534488625141
0.16666666666666666,1.0,1.0,0.9621623063531546
0.2222222222222222,0.43137772673742947,0.6866540812681791,0.9376764594820411
0.6,0.27542449977676353,0.675316032742297,0.9813285904032633
0.6363636363636364,0.7492321530415987,0.8516228624291206,0.9358462627851254
0.55,0.6190114192993525,0.8956198176254974,0.9597042586216497
0.7777777777777778,0.7796836299365973,0.912360639237307,0.7398094444482337
0.6428571428571429,1.0,1.0,0.9585674309768067
0.4,1.0,1.0,0.2694798274711543
0.4482758620689655,0.6563342497147129,0.8783489174918879,0.9097617169185039
0.8260869565217391,1.0,1.0,0.33696451940619077
0.1,0.6332973086487758,0.760856626273165,0.9621623063531546
0.2,1.0,1.0,0.4722800303913679
0.4838709677419355,1.0,1.0,0.6007721490263873
0.6,0.7190619675602179,0.8336104423443033,0.8881331386380559
0.5,0.5737812394463324,0.7801270245332924,0.9850012211575614
0.6,1.0,1.0,0.09118717281692601
0.5,1.0,1.0,0.970050067086698
0.6666666666666666,1.0,1.0,0.5604766953176236
0.5,0.38690132635039265,0.8180111754526393,0.9770873050314679
0.2857142857142857,1.0,1.0,0.7548177134710611
0.3333333333333333,0.42736778872752557,0.7733268425747897,0.9474260446309954
0.6363636363636364,1.0,1.0,0.822250636387019
0.6666666666666666,0.34578037615920126,0.7745340982921362,0.5217628736748146
0.7142857142857143,1.0,1.0,0.9566690523795773
0.75,1.0,1.0,0.21911776979655373
0.3333333333333333,0.3252843980319135,0.6540585844910979,0.998139974402362
0.36363636363636365,1.0,1.0,0.9813285904032633
0.2857142857142857,1.0,1.0,0.9621623063531546
0.2857142857142857,1.0,1.0,0.9621623063531546
0.7391304347826086,0.8518451457121387,0.9530463407038268,0.4790142071219774
0.6666666666666666,0.301627941896628,0.8076502110466862,0.9774898942840794
0.6,0.7232605001447288,0.8953693516204738,0.9379284983417451
0.6923076923076923,0.7041249062031227,0.9069443196104878,0.8590757258287797
0.2222222222222222,1.0,1.0,0.6466290234850671
0.7894736842105263,0.9138664752344929,0.944515869221328,0.9626744976198303
0.3,1.0,1.0,0.6721014952985522
0.0,0.21126169169336345,0.5292031904718659,0.9621623063531546
0.42857142857142855,1.0,1.0,0.9771722025900706
